"","cell","celltype"
"1","BC01_02","Tumor"
"2","BC01_03","Tumor"
"3","BC01_04","Tumor"
"4","BC01_05","Tumor"
"5","BC01_06","Tumor"
"6","BC01_08","Tumor"
"7","BC01_10","Tumor"
"8","BC01_12","Tumor"
"9","BC01_33","Tumor"
"10","BC01_34","Tumor"
"11","BC01_50","Stromal"
"12","BC01_53","Tumor"
"13","BC01_55","Tumor"
"14","BC01_57","Tumor"
"15","BC01_66","Tumor"
"16","BC01_69","Tumor"
"17","BC01_70","Tumor"
"18","BC01_72","Tumor"
"19","BC01_74","Stromal"
"20","BC01_77","Tumor"
"21","BC01_87","Tumor"
"22","BC01_95","Tumor"
"23","BC04_01","Tumor"
"24","BC04_02","Tumor"
"25","BC04_07","Tumor"
"26","BC04_08","Stromal"
"27","BC04_09","Tumor"
"28","BC04_11","Tumor"
"29","BC04_13","Tumor"
"30","BC04_14","Tumor"
"31","BC04_16","Tumor"
"32","BC04_20","Tumor"
"33","BC04_21","Myeloid"
"34","BC04_22","Tumor"
"35","BC04_23","Tumor"
"36","BC04_24","Tumor"
"37","BC04_27","Tumor"
"38","BC04_28","Tumor"
"39","BC04_29","Tumor"
"40","BC04_30","Tumor"
"41","BC04_31","Tumor"
"42","BC04_32","Tumor"
"43","BC04_33","Tumor"
"44","BC04_35","Myeloid"
"45","BC04_36","Tumor"
"46","BC04_37","Tumor"
"47","BC04_39","Tumor"
"48","BC04_40","Tumor"
"49","BC04_41","Tumor"
"50","BC04_45","Tumor"
"51","BC04_49","Tumor"
"52","BC04_53","Tumor"
"53","BC04_54","Tumor"
"54","BC04_56","Tumor"
"55","BC04_58","Tumor"
"56","BC04_59","Tumor"
"57","BC04_60","Tumor"
"58","BC04_61","Tumor"
"59","BC04_62","Tcell"
"60","BC04_63","Tumor"
"61","BC04_64","Tumor"
"62","BC04_66","Tcell"
"63","BC04_69","Tumor"
"64","BC04_71","Tumor"
"65","BC04_72","Myeloid"
"66","BC04_77","Tumor"
"67","BC04_78","Tumor"
"68","BC04_82","Tumor"
"69","BC04_85","Tumor"
"70","BC04_86","Tumor"
"71","BC04_88","Tumor"
"72","BC04_89","Tcell"
"73","BC04_90","Tumor"
"74","BC04_91","Tumor"
"75","BC04_92","Tumor"
"76","BC04_93","Tumor"
"77","BC04_96","Tcell"
"78","BC07_01","Tumor"
"79","BC07_03","Tcell"
"80","BC07_04","Myeloid"
"81","BC07_06","Tumor"
"82","BC07_07","Myeloid"
"83","BC07_08","Tumor"
"84","BC07_09","Myeloid"
"85","BC07_12","Tumor"
"86","BC07_15","Tumor"
"87","BC07_16","Tcell"
"88","BC07_18","Tumor"
"89","BC07_20","Tumor"
"90","BC07_23","Stromal"
"91","BC07_24","Tumor"
"92","BC07_27","Tumor"
"93","BC07_30","Tcell"
"94","BC07_31","Tumor"
"95","BC07_35","Tumor"
"96","BC07_36","Tumor"
"97","BC07_38","Tumor"
"98","BC07_39","Tumor"
"99","BC07_42","Stromal"
"100","BC07_43","Tumor"
"101","BC07_44","Stromal"
"102","BC07_50","Myeloid"
"103","BC07_52","Stromal"
"104","BC07_55","Myeloid"
"105","BC07_56","Tcell"
"106","BC07_57","Tumor"
