"","cell","x","y","celltype"
"1","C1",35.42,14117.27,"eL2_3"
"2","C2",54,5090.07,"eL6"
"3","C3",47.06,9057.87,"Astro"
"4","C4",48.53,10542.76,"eL6"
"5","C5",34.81,13471.79,"eL2_3"
"6","C6",36.52,8217.54,"PVALB"
"7","C7",43.87,10146.95,"Endo"
"8","C8",41.8,14328.23,"VIP"
"9","C9",55.85,1167.1,"SST"
"10","C10",80.31,11407.66,"Astro"
"11","C11",41.08,15518.8,"Smc"
"12","C12",62.73,3131.69,"eL6"
"13","C13",67.12,4788.28,"Endo"
"14","C14",73.69,7496.63,"eL6"
"15","C15",78.22,10363.46,"eL4"
"16","C16",51.37,11867.76,"eL2_3"
"17","C17",82.68,12720.38,"eL2_3"
"18","C18",66.26,2102.15,"Astro"
"19","C19",88.07,5753.05,"Micro"
"20","C20",87.22,9438.64,"eL4"
"21","C21",91.32,363.83,"eL6"
"22","C22",120.19,4303.51,"eL6"
"23","C23",80.42,5491.95,"Astro"
"24","C24",108.1,10835.44,"Endo"
"25","C25",145.72,13166.65,"eL4"
"26","C26",111.71,3540.12,"Oligo"
"27","C27",97.87,4530.7,"eL6"
"28","C28",120.51,14383.77,"VIP"
"29","C29",131.42,15642.93,"Smc"
"30","C30",115.21,915.15,"Oligo"
"31","C31",117.59,506.02,"eL5"
"32","C32",122.79,7300.96,"eL5"
"33","C33",149.63,4681.37,"eL6"
"34","C34",161.1,8380.51,"Astro"
"35","C35",177.73,3116.08,"Oligo"
"36","C36",160.71,12119.47,"PVALB"
"37","C37",145.25,12481.87,"eL2_3"
"38","C38",194.16,8785.18,"eL4"
"39","C39",209.88,10047.08,"eL6"
"40","C40",187.27,5235,"eL6"
"41","C41",194.21,9669.86,"Astro"
"42","C42",228.5,13681.47,"VIP"
"43","C43",204.82,6367.41,"eL5"
"44","C44",205.28,10205.58,"Astro"
"45","C45",215.88,3458.78,"eL6"
"46","C46",223.2,5605.15,"eL6"
"47","C47",256.46,3665.33,"Reln"
"48","C48",257.31,11690.26,"VIP"
"49","C49",228.11,9920.52,"eL4"
"50","C50",273.11,14092.82,"Astro"
"51","C51",267.82,15645.42,"Smc"
"52","C52",281.51,3035.53,"Oligo"
"53","C53",273.61,7983.46,"eL6"
"54","C54",249,83.59,"HPC"
"55","C55",276.66,2628.54,"Oligo"
"56","C56",255.44,11228.36,"Endo"
"57","C57",303.4,12605.58,"eL2_3"
"58","C58",306.09,15388.32,"Astro"
"59","C59",265.86,3325.44,"Oligo"
"60","C60",285.32,9413.06,"eL4"
"61","C61",283.97,4796.73,"eL6"
"62","C62",299.56,7247.54,"eL5"
"63","C63",333.67,10311.91,"eL4"
"64","C64",309.97,12317.45,"eL2_3"
"65","C65",321.22,5324.46,"eL6"
"66","C66",310.66,13039.66,"eL2_3"
"67","C67",335.53,4062.32,"eL6"
"68","C68",331.31,8398.02,"Astro"
"69","C69",361.6,12710.9,"Endo"
"70","C70",358.9,5846.14,"eL6"
"71","C71",329.55,9606.8,"eL4"
"72","C72",362.42,10448.73,"eL4"
"73","C73",362.1,14980.04,"Astro"
"74","C74",364.24,3416.74,"eL6"
"75","C75",391.92,11900.4,"eL2_3"
"76","C76",366.68,4449.06,"eL6"
"77","C77",381.09,15713.69,"Smc"
"78","C78",398.43,4333.8,"eL6"
"79","C79",412.2,1029.57,"HPC"
"80","C80",424.88,1741.75,"eL5"
"81","C81",427.06,5434.77,"eL6"
"82","C82",431.12,9271.25,"eL4"
"83","C83",415.74,3937.1,"eL6"
"84","C84",404.79,6506.08,"eL4"
"85","C85",421.66,8630.74,"eL5"
"86","C86",421.56,8796.67,"eL5"
"87","C87",436.13,10598.04,"eL4"
"88","C88",459.3,2268.21,"Oligo"
"89","C89",441.49,3774.08,"eL6"
"90","C90",417.4,7693.1,"Astro"
"91","C91",417.32,8085.5,"PVALB"
"92","C92",435.81,14680.88,"Astro"
"93","C93",419.62,4573.65,"eL6"
"94","C94",456.48,10748.87,"Oligo"
"95","C95",427.65,11478.78,"Endo"
"96","C96",437.48,12256.36,"eL2_3"
"97","C97",457.1,12509.34,"Endo"
"98","C98",455.77,12826.25,"eL2_3"
"99","C99",471.56,11615.34,"eL2_3"
"100","C100",476.11,10867.35,"eL4"
"101","C101",479.79,11355.92,"eL4"
"102","C102",497.27,1933.72,"Oligo"
"103","C103",477.53,5127.81,"eL6"
"104","C104",475.28,6410.17,"Oligo"
"105","C105",477,9615.03,"eL4"
"106","C106",496.87,4820.84,"eL6"
"107","C107",479.22,8507,"eL5"
"108","C108",481.86,15747.24,"Smc"
"109","C109",509.2,3451.18,"Oligo"
"110","C110",502.34,4205.4,"Oligo"
"111","C111",493.89,15205.17,"Endo"
"112","C112",533.17,6281.86,"eL6"
"113","C113",533.41,8116.6,"PVALB"
"114","C114",530.23,10978.42,"eL4"
"115","C115",536.09,11755.3,"eL4"
"116","C116",539.82,4640.74,"eL6"
"117","C117",534.44,8977.21,"Astro"
"118","C118",555.59,7880.26,"eL6"
"119","C119",510.17,10142.53,"eL4"
"120","C120",561.53,15796.76,"Smc"
"121","C121",544.59,5574.93,"eL6"
"122","C122",547.19,13710.44,"eL2_3"
"123","C123",602.96,4254.99,"eL6"
"124","C124",568.49,6562.72,"PVALB"
"125","C125",575.95,7574.41,"Astro"
"126","C126",600.97,8506.88,"Oligo"
"127","C127",574.92,11232.02,"eL2_3"
"128","C128",574.82,12247.6,"eL2_3"
"129","C129",588.33,12865.81,"eL4"
"130","C130",569.07,2639.42,"Oligo"
"131","C131",600.73,5211.22,"eL6"
"132","C132",602.35,9489.03,"Astro"
"133","C133",602.64,2430.3,"Oligo"
"134","C134",576.27,10033.97,"Reln"
"135","C135",649.17,12718.4,"Astro"
"136","C136",634.5,10798.93,"eL4"
"137","C137",646.38,11621.27,"PVALB"
"138","C138",628.78,13589.85,"eL2_3"
"139","C139",627.57,71.22,"HPC"
"140","C140",647.57,3792.42,"Astro"
"141","C141",670.77,11061.38,"eL4"
"142","C142",659.9,15860.81,"Smc"
"143","C143",635.78,1733.74,"Oligo"
"144","C144",652.88,2775.87,"Oligo"
"145","C145",594.95,9236.71,"Astro"
"146","C146",663.89,2083.49,"Oligo"
"147","C147",626.53,2964.52,"Oligo"
"148","C148",669.3,10183.72,"eL4"
"149","C149",670.16,5076.87,"eL2_3"
"150","C150",669.02,9924.79,"eL5"
"151","C151",669.05,11357.63,"eL4"
"152","C152",705.28,2670.31,"Oligo"
"153","C153",689.23,3598.72,"Oligo"
"154","C154",725.74,8069.79,"Astro"
"155","C155",728.24,43.55,"HPC"
"156","C156",751.98,5758.75,"Endo"
"157","C157",691.27,7408.59,"Astro"
"158","C158",712.43,7684.59,"Endo"
"159","C159",716.04,10542.68,"Endo"
"160","C160",733.99,9363.47,"eL4"
"161","C161",706.65,9781.19,"Endo"
"162","C162",714.12,12152.56,"Reln"
"163","C163",753.65,3118.48,"Oligo"
"164","C164",714.88,4664.26,"eL6"
"165","C165",718.08,8970.26,"Astro"
"166","C166",734.37,12325.32,"eL2_3"
"167","C167",702.67,225.52,"HPC"
"168","C168",766.41,3027.57,"Oligo"
"169","C169",739.74,6334.09,"eL6"
"170","C170",717.83,13976.15,"eL4"
"171","C171",731.53,6654.97,"Oligo"
"172","C172",730.13,7191.3,"eL4"
"173","C173",747.15,13605.42,"Endo"
"174","C174",777.68,14164.77,"eL2_3"
"175","C175",752.42,4791.15,"eL6"
"176","C176",765.99,9589.2,"eL4"
"177","C177",824.03,1889.46,"Astro"
"178","C178",789.92,3636.32,"Astro"
"179","C179",786.26,10726.51,"eL4"
"180","C180",782.53,13752.82,"eL2_3"
"181","C181",746.88,4144.34,"Reln"
"182","C182",779.39,4309.99,"eL6"
"183","C183",799.28,11933.84,"eL4"
"184","C184",830.52,4955.57,"eL6"
"185","C185",788.83,9154.03,"eL4"
"186","C186",822.13,13954.6,"eL2_3"
"187","C187",833.28,6632.95,"PVALB"
"188","C188",832.94,7944.68,"Astro"
"189","C189",772.22,13236.58,"Astro"
"190","C190",810.56,2633.15,"Micro"
"191","C191",815.66,2775.41,"Oligo"
"192","C192",821.92,10068.35,"eL2_3"
"193","C193",844.23,13574.4,"Astro"
"194","C194",848.12,15892.34,"Smc"
"195","C195",857.29,3715.74,"Astro"
"196","C196",825.32,5525.27,"Astro"
"197","C197",816.73,11787.36,"eL4"
"198","C198",830.29,8706.73,"Astro"
"199","C199",872.58,11106.28,"Micro"
"200","C200",852.8,11632.78,"eL4"
"201","C201",842.03,3884.85,"eL6"
"202","C202",886.32,11270.3,"eL2_3"
"203","C203",877.06,15066.26,"Astro"
"204","C204",891.76,4777.78,"eL6"
"205","C205",888.62,7281.06,"eL5"
"206","C206",892.3,4446.77,"eL6"
"207","C207",883.53,678.35,"PVALB"
"208","C208",908.76,13458.06,"PVALB"
"209","C209",904.96,11425.55,"eL4"
"210","C210",920.95,438.83,"Astro"
"211","C211",911.77,8228.46,"VIP"
"212","C212",1000.64,2662.31,"Oligo"
"213","C213",920.53,6473.48,"SST"
"214","C214",948.34,13931.91,"eL2_3"
"215","C215",955.06,12465.85,"VIP"
"216","C216",961.19,10995.93,"eL4"
"217","C217",945.02,12923.21,"eL2_3"
"218","C218",957.09,10347.3,"eL4"
"219","C219",936.95,60.19,"HPC"
"220","C220",968.31,9601.75,"eL4"
"221","C221",971.13,9387.26,"PVALB"
"222","C222",1006.75,7312.23,"Endo"
"223","C223",993.88,3476.04,"Oligo"
"224","C224",1008,10851.05,"eL4"
"225","C225",1022.49,12552.49,"VIP"
"226","C226",1011.89,7591.78,"Astro"
"227","C227",1036.61,8196.63,"VIP"
"228","C228",1056.72,10430.76,"eL4"
"229","C229",1056.95,9603.5,"Oligo"
"230","C230",1073.73,2286.78,"Astro"
"231","C231",1045.83,10118.83,"Astro"
"232","C232",1056.72,14039.99,"eL2_3"
"233","C233",1075.68,5293.67,"eL4"
"234","C234",1103.2,7962.05,"Oligo"
"235","C235",1099.89,4918.67,"PVALB"
"236","C236",1121.03,16089.89,"Smc"
